Iterator T GF Best_GF
598 9.42679 34772 34772
599 9.42679 31635 31635
600 9.42679 31635 31635
601 9.41736 31635 31635
602 9.41736 31635 31635
603 9.41736 31635 31635
604 9.41736 31635 31635
605 9.41736 31635 31635
606 9.41736 31635 31635
607 9.41736 30198 30198
608 9.41736 28783 28783
609 9.41736 28783 28783
610 9.41736 28783 28783
611 9.40795 28783 28783
612 9.40795 28783 28783
613 9.40795 28783 28783
614 9.40795 28783 28783
615 9.40795 28783 28783
616 9.40795 28783 28783
617 9.40795 28783 28783
618 9.40795 28783 28783
619 9.40795 28783 28783
620 9.40795 28783 28783
621 9.39854 28783 28783
622 9.39854 28783 28783
623 9.39854 28783 28783
624 9.39854 28783 28783
625 9.39854 28783 28783
626 9.39854 28783 28783
627 9.39854 28783 28783
628 9.39854 28783 28783
629 9.39854 28783 28783
630 9.39854 28783 28783
631 9.38914 28783 28783
632 9.38914 28783 28783
633 9.38914 28783 28783
634 9.38914 28783 28783
635 9.38914 28783 28783
636 9.38914 28783 28783
637 9.38914 28783 28783
638 9.38914 28783 28783
639 9.38914 28783 28783
640 9.38914 28783 28783
641 9.37975 28783 28783
642 9.37975 28783 28783
643 9.37975 28783 28783
644 9.37975 28783 28783
645 9.37975 28783 28783
646 9.37975 28783 28783
647 9.37975 28783 28783
648 9.37975 28783 28783
649 9.37975 28783 28783
650 9.37975 28783 28783
651 9.37037 28783 28783
652 9.37037 28783 28783
653 9.37037 28783 28783
654 9.37037 28783 28783
655 9.37037 28783 28783
656 9.37037 28783 28783
657 9.37037 28783 28783
658 9.37037 28783 28783
659 9.37037 28783 28783
660 9.37037 28783 28783
661 9.361 28783 28783
662 9.361 28783 28783
663 9.361 28783 28783
664 9.361 28783 28783
665 9.361 28783 28783
666 9.361 28783 28783
667 9.361 28783 28783
668 9.361 28783 28783
669 9.361 28783 28783
670 9.361 28783 28783
671 9.35164 28783 28783
672 9.35164 28783 28783
673 9.35164 28783 28783
674 9.35164 28783 28783
675 9.35164 28783 28783
676 9.35164 28783 28783
677 9.35164 28783 28783
678 9.35164 28783 28783
679 9.35164 28783 28783
680 9.35164 28783 28783
681 9.34229 28783 28783
682 9.34229 28783 28783
683 9.34229 28783 28783
684 9.34229 28783 28783
685 9.34229 28783 28783
686 9.34229 28783 28783
687 9.34229 28783 28783
688 9.34229 28783 28783
689 9.34229 28783 28783
690 9.34229 28783 28783
691 9.33294 28783 28783
692 9.33294 28783 28783
693 9.33294 28783 28783
694 9.33294 28783 28783
695 9.33294 28783 28783
696 9.33294 28783 28783
697 9.33294 28783 28783
698 9.33294 28783 28783
699 9.33294 28783 28783
700 9.33294 28783 28783
701 9.32361 28783 28783
702 9.32361 28783 28783
703 9.32361 28783 28783
704 9.32361 28783 28783
705 9.32361 28783 28783
706 9.32361 28783 28783
707 9.32361 28783 28783
708 9.32361 28783 28783
709 9.32361 28783 28783
710 9.32361 28783 28783
711 9.31429 28783 28783
712 9.31429 28783 28783
713 9.31429 28783 28783
714 9.31429 28783 28783
715 9.31429 28783 28783
716 9.31429 28783 28783
717 9.31429 28783 28783
718 9.31429 28783 28783
719 9.31429 28783 28783
720 9.31429 28783 28783
721 9.30497 28783 28783
722 9.30497 28783 28783
723 9.30497 28783 28783
724 9.30497 28783 28783
725 9.30497 28783 28783
726 9.30497 28783 28783
727 9.30497 28783 28783
728 9.30497 28783 28783
729 9.30497 28783 28783
730 9.30497 28783 28783
731 9.29567 28783 28783
732 9.29567 28783 28783
733 9.29567 28783 28783
734 9.29567 28783 28783
735 9.29567 28783 28783
736 9.29567 28783 28783
737 9.29567 28783 28783
738 9.29567 28783 28783
739 9.29567 28783 28783
740 9.29567 28783 28783
741 9.28637 28783 28783
742 9.28637 28783 28783
743 9.28637 28783 28783
744 9.28637 28783 28783
745 9.28637 28783 28783
746 9.28637 28783 28783
747 9.28637 28783 28783
748 9.28637 28783 28783
749 9.28637 28783 28783
750 9.28637 28783 28783
751 9.27709 28783 28783
752 9.27709 28783 28783
753 9.27709 28783 28783
754 9.27709 28783 28783
755 9.27709 28783 28783
